"State","Year","Month","Deaths","Population","Rate","Period"
"Georgia",2018,9,66,10519475,0.627407736602825,9
"Hawaii",2018,9,4,1420491,0.281592773203069,9
"Idaho",2018,9,4,1754208,0.228023130666375,9
"Illinois",2018,9,171,12741080,1.34211542506601,9
"Indiana",2018,9,72,6691878,1.07593115116564,9
"Iowa",2018,9,17,3156145,0.53863178022556,9
"Kansas",2018,9,10,2911505,0.343464977734883,9
"Kentucky",2018,9,69,4468402,1.54417619542736,9
"Louisiana",2018,9,35,4659978,0.751076507228146,9
"Maine",2018,9,18,1338404,1.34488540082068,9
"Maryland",2018,9,147,6042718,2.43268012837932,9
"Massachusetts",2018,9,142,6902149,2.05733026047395,9
"Michigan",2018,9,150,9995915,1.50061300041067,9
"Minnesota",2018,9,29,5611179,0.516825430092321,9
"Mississippi",2018,9,14,2986530,0.468771450479319,9
"Missouri",2018,9,99,6126452,1.61594345307855,9
"Montana",2018,9,4,1062305,0.376539694343903,9
"Nebraska",2018,9,4,1929268,0.207332521972064,9
"Nevada",2018,9,29,3034392,0.955710402611133,9
"New Hampshire",2018,9,30,1356458,2.21164238037595,9
"New Jersey",2018,9,214,8908520,2.40219475288825,9
"New Mexico",2018,9,27,2095428,1.28851957690744,9
"New York",2018,9,207,19542209,1.05924565641479,9
"North Carolina",2018,9,158,10383620,1.52162733227911,9
"North Dakota",2018,9,4,760077,0.526262470775987,9
"Ohio",2018,9,288,11689442,2.46376174328937,9
"Oklahoma",2018,9,19,3943079,0.481856944788578,9
"Oregon",2018,9,22,4190713,0.524970333210602,9
"Pennsylvania",2018,9,224,12807060,1.7490352977186,9
"Rhode Island",2018,9,20,1057315,1.89158387046434,9
"South Carolina",2018,9,60,5084127,1.1801436116761,9
"Tennessee",2018,9,102,6770010,1.50664474646271,9
"Texas",2018,9,116,28701845,0.404155203263065,9
"Utah",2018,9,24,3161105,0.759228181284709,9
"Vermont",2018,9,10,626299,1.59668145725923,9
"Virginia",2018,9,121,8517685,1.42057378266513,9
"Washington",2018,9,47,7535591,0.623706886427355,9
"West Virginia",2018,9,53,1805832,2.93493525422077,9
"Wisconsin",2018,9,58,5813568,0.99766614925636,9
"Wyoming",2018,9,4,577737,0.692356556703137,9
"Alabama",2018,10,22,4887871,0.450093711556627,10
"Alaska",2018,10,4,737438,0.542418481282494,10
"Arizona",2018,10,85,7171646,1.18522302969221,10
"Arkansas",2018,10,12,3013825,0.3981651223943,10
"California",2018,10,185,39557045,0.46767901899649,10
"Colorado",2018,10,40,5695564,0.702300948597891,10
"Connecticut",2018,10,74,3572665,2.07128292185245,10
"Delaware",2018,10,31,967171,3.20522430883474,10
"District of Columbia",2018,10,14,702455,1.99301022841321,10
"Florida",2018,10,250,21299325,1.17374611636754,10
"Georgia",2018,10,61,10519475,0.579876847466247,10
"Hawaii",2018,10,4,1420491,0.281592773203069,10
"Idaho",2018,10,4,1754208,0.228023130666375,10
"Illinois",2018,10,195,12741080,1.53048250226825,10
"Indiana",2018,10,94,6691878,1.40468789179958,10
"Iowa",2018,10,4,3156145,0.126736889464838,10
"Kansas",2018,10,13,2911505,0.446504471055348,10
"Kentucky",2018,10,80,4468402,1.79034921208969,10
"Louisiana",2018,10,27,4659978,0.57940187700457,10
"Maine",2018,10,18,1338404,1.34488540082068,10
"Maryland",2018,10,145,6042718,2.39958243955783,10
"Massachusetts",2018,10,144,6902149,2.08630674301583,10
"Michigan",2018,10,143,9995915,1.43058439372484,10
"Minnesota",2018,10,29,5611179,0.516825430092321,10
"Mississippi",2018,10,11,2986530,0.368320425376608,10
"Missouri",2018,10,114,6126452,1.86078337021167,10
"Montana",2018,10,4,1062305,0.376539694343903,10
"Nebraska",2018,10,4,1929268,0.207332521972064,10
"Nevada",2018,10,26,3034392,0.856843809237567,10
"New Hampshire",2018,10,39,1356458,2.87513509448873,10
"New Jersey",2018,10,230,8908520,2.58179809889858,10
"New Mexico",2018,10,14,2095428,0.668121262100153,10
"New York",2018,10,243,19542209,1.24346229231301,10
"North Carolina",2018,10,148,10383620,1.42532180491967,10
"North Dakota",2018,10,4,760077,0.526262470775987,10
"Ohio",2018,10,267,11689442,2.28411244950785,10
"Oklahoma",2018,10,19,3943079,0.481856944788578,10
"Oregon",2018,10,15,4190713,0.357934318098137,10
"Pennsylvania",2018,10,239,12807060,1.8661581971194,10
"Rhode Island",2018,10,28,1057315,2.64821741865007,10
"South Carolina",2018,10,69,5084127,1.35716515342752,10
"Tennessee",2018,10,106,6770010,1.56572885416713,10
"Texas",2018,10,99,28701845,0.344925561405547,10
"Utah",2018,10,28,3161105,0.885766211498827,10
"Vermont",2018,10,14,626299,2.23535404016293,10
"Virginia",2018,10,109,8517685,1.27969043231817,10
"Washington",2018,10,60,7535591,0.796221557141304,10
"West Virginia",2018,10,62,1805832,3.43332048606958,10
"Wisconsin",2018,10,70,5813568,1.2040798353094,10
"Wyoming",2018,10,4,577737,0.692356556703137,10
"Alabama",2018,11,29,4887871,0.593305347051917,11
"Alaska",2018,11,4,737438,0.542418481282494,11
"Arizona",2018,11,104,7171646,1.45015523632929,11
"Arkansas",2018,11,14,3013825,0.464525976126683,11
"California",2018,11,162,39557045,0.409535140959088,11
"Colorado",2018,11,36,5695564,0.632070853738102,11
"Connecticut",2018,11,82,3572665,2.29520539989056,11
"Delaware",2018,11,31,967171,3.20522430883474,11
