ID,WEEK,OBSDATE,OVERCROWDING,crowd3groups,crowd2groups,start.time,DAYFREE,stop.time,EVENT,VIOEVENT,REGION,RETURNS,OFFSCAT2_1,OFFSCAT2_2,OFFSCAT2_4,OFFSCAT2_5,PALWEEK,SEX_FLAG,STRIKE,AVCLOCK,CVCLOCK,PRIORSER,PRIORVIO,AGERLSE_G_1,AGERLSE_G_3,REGION_1,REGION_2,REGION_4,BLACK,LEVELTYPE_1,LEVELTYPE_2,LEVELTYPE_3,LEVELTYPE_4,LEVELTYPE_5,AGEFIRST,MALE,MH_FLAG,CONC_DIS_STD,RES_STAB_STD,PUB_ASSI_STD,PUNITIVE_STD,ADJRATE1_STD,SAMHSA_C_STD,MALEPA,BLACKPA
45,104,2004-12-26,182,low,low,0,1149,1149,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28,1,1,-0.2343774438,0.1897883415,-0.3452275991,-0.7084547281,0.6663253307,-1.2763344049,1,0
46,79,2004-06-27,192.5,medium,high,0,237,237,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,20,1,1,2.0058310032,0.034441404,0.1982955188,1.3822122812,-0.0002015339,-1.0922425985,1,0
46,92,2004-09-26,192.5,medium,high,237,328,565,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,20,1,1,0.7084715962,-0.3714326918,-0.4544790387,1.3822122812,-0.0002015339,-1.0462195873,1,0
46,104,2004-12-26,192.5,medium,high,565,419,984,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,20,1,1,0.1882113367,-0.2567043006,-0.475925982,1.3822122812,-0.0002015339,-1.2303113937,0,1
47,104,2004-12-26,188.9,low,low,0,1512,1512,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,25,1,0,-1.5299551487,-1.1606925726,-0.9842839241,0.292335242,-0.9706577063,-0.9081507921,0,0
48,38,2003-09-14,197.7,medium,high,0,238,238,1,2,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,1,1,-0.736083746,-0.9292910099,-1.1524845362,1.0415363312,-0.458248049,-1.2609933615,0,0
48,49,2003-11-30,197.7,medium,high,238,315,553,1,3,4,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,1,1,-0.736083746,-0.9292910099,-1.1524845362,1.0415363312,-0.458248049,-1.2609933615,0,0
48,104,2004-12-26,204.8,medium,high,553,42,595,0,0,4,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,1,1,1.0242484808,1.8498263359,-0.2779547274,1.0415363312,-0.458248049,0.0890130773,0,1
49,23,2003-06-01,201.6,medium,high,0,195,195,1,3,4,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,22,1,0,-0.0642378554,0.1840046793,-0.1605571061,0.8957823515,-0.4563067555,-0.2178065777,1,0
49,104,2004-12-26,201.6,medium,high,195,769,964,0,0,4,2,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,22,1,0,-0.0642378554,0.1840046793,-0.1605571061,0.8957823515,-0.4563067555,-0.2178065777,0,0
50,104,2004-12-26,203.4,medium,high,0,552,552,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,45,1,0,-0.1582665443,-0.2760564685,-0.5102492571,1.0415363312,-0.458248049,0.1657179892,1,1
51,78,2004-06-20,203.8,medium,high,0,326,326,1,5,4,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,36,1,0,-1.103661418,-1.466797471,2.6444303989,0.8957823515,-0.4563067555,1.2395868301,1,0
51,104,2004-12-26,203.8,medium,high,326,515,841,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,36,1,0,-1.103661418,-1.466797471,2.6444303989,0.8957823515,-0.4563067555,1.2395868301,1,0
52,22,2003-05-25,204.6,medium,high,0,263,263,1,4,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,55,1,0,-1.2898128033,-1.7299944162,0.2840403616,1.0415363312,-0.458248049,0.2577638924,1,0
52,104,2004-12-26,202.5,medium,high,263,470,733,0,0,4,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,55,1,0,-1.2898128033,-1.7299944162,0.2840403616,1.0415363312,-0.458248049,0.2577638924,1,1
53,104,2004-12-26,205,high,high,0,278,278,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,45,1,0,-0.1010591835,0.3985230923,0.3530176282,-0.8042349219,1.2893944979,1.2395868301,0,1
54,24,2003-06-08,199.5,medium,high,0,77,77,1,2,4,8,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,18,1,0,-0.4748879969,0.1335787624,0.7638460398,1.0415363312,-0.458248049,0.1043540612,1,0
54,104,2004-12-26,207.5,high,high,77,189,266,0,0,4,9,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,18,1,0,-0.5931731462,-0.1451655924,-0.5030187368,1.0415363312,-0.458248049,-0.9081507921,1,0
55,104,2004-12-26,204.2,medium,high,0,542,542,0,0,4,6,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,31,1,0,-0.917244494,-0.2782099843,0.1500805318,0.8747732043,-0.4233145416,1.3929966688,1,0
56,104,2004-12-26,192.5,medium,high,0,654,654,0,0,3,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,31,1,0,-0.4728919268,-1.6220775843,-0.1029315814,-0.8042349219,1.2893944979,1.3929966688,0,0
