"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"28 years"	"28"	"2019"	"2019"	1684	4818725	34.9
	"28 years"	"28"	"2020 "	"2020"	2159	4751001	45.4
	"29 years"	"29"	"1999"	"1999"	403	4169874	9.7
	"29 years"	"29"	"2000"	"2000"	367	4242525	8.7
	"29 years"	"29"	"2001"	"2001"	354	3956647	8.9
	"29 years"	"29"	"2002"	"2002"	404	3768542	10.7
	"29 years"	"29"	"2003"	"2003"	445	3673923	12.1
	"29 years"	"29"	"2004"	"2004"	475	3788140	12.5
	"29 years"	"29"	"2005"	"2005"	511	3686326	13.9
	"29 years"	"29"	"2006"	"2006"	643	3790391	17.0
	"29 years"	"29"	"2007"	"2007"	693	3850082	18.0
	"29 years"	"29"	"2008"	"2008"	737	3969090	18.6
	"29 years"	"29"	"2009"	"2009"	835	4175077	20.0
	"29 years"	"29"	"2010"	"2010"	856	4223076	20.3
	"29 years"	"29"	"2011"	"2011"	916	4263578	21.5
	"29 years"	"29"	"2012"	"2012"	941	4278212	22.0
	"29 years"	"29"	"2013"	"2013"	895	4224985	21.2
	"29 years"	"29"	"2014"	"2014"	1031	4387476	23.5
	"29 years"	"29"	"2015"	"2015"	1282	4383139	29.2
	"29 years"	"29"	"2016"	"2016"	1534	4374565	35.1
	"29 years"	"29"	"2017"	"2017"	1819	4487739	40.5
	"29 years"	"29"	"2018"	"2018"	1716	4611070	37.2
	"29 years"	"29"	"2019"	"2019"	1795	4806144	37.3
	"29 years"	"29"	"2020 "	"2020"	2397	4835107	49.6
	"30 years"	"30"	"1999"	"1999"	356	4181212	8.5
	"30 years"	"30"	"2000"	"2000"	357	4289970	8.3
	"30 years"	"30"	"2001"	"2001"	401	4218260	9.5
	"30 years"	"30"	"2002"	"2002"	443	3994164	11.1
	"30 years"	"30"	"2003"	"2003"	450	3813536	11.8
	"30 years"	"30"	"2004"	"2004"	440	3737940	11.8
