Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
02-1989,215636.0,114469.0,90.79,48.2,248248537,237511931.0,55778.0,31537.0,23.48,13.28,38828.0,10140.0,16.35,4.27,6683.0,1100.0,2.81,0.46,1436.0,983.0,0.6,0.41,204610.0,29792.0,86.15,12.54,105127.0,15569.0,44.26,6.56,502597.0,108202.0,211.61,45.56,5154.0,2884.0,2.17,1.21,819017.0,154663.0,344.83,65.12,1989-02-01
03-1989,281198.0,135857.0,118.58,57.29,248248537,237140165.0,79860.0,36480.0,33.68,15.38,50587.0,11229.0,21.33,4.74,7683.0,1308.0,3.24,0.55,1829.0,1085.0,0.77,0.46,271339.0,31712.0,114.42,13.37,134249.0,17773.0,56.61,7.49,665605.0,122314.0,280.68,51.58,7252.0,3280.0,3.06,1.38,1078876.0,173107.0,454.95,73.0,1989-03-01
04-1989,264100.0,138560.0,111.44,58.47,248248537,236979987.0,68914.0,36881.0,29.08,15.56,38113.0,10224.0,16.08,4.31,8257.0,1413.0,3.48,0.6,1591.0,1079.0,0.67,0.46,213169.0,29124.0,89.95,12.29,107921.0,15844.0,45.54,6.69,561548.0,111498.0,236.96,47.05,6688.0,3285.0,2.82,1.39,890895.0,157879.0,375.94,66.62,1989-04-01
05-1989,280486.0,147966.0,118.43,62.47,248248537,236844555.0,74842.0,40058.0,31.6,16.91,39645.0,10376.0,16.74,4.38,8363.0,1369.0,3.53,0.58,1566.0,1037.0,0.66,0.44,231864.0,31013.0,97.9,13.09,114614.0,16849.0,48.39,7.11,604332.0,115750.0,255.16,48.87,6949.0,3591.0,2.93,1.52,959173.0,164981.0,404.98,69.66,1989-05-01
06-1989,302733.0,146021.0,128.9,62.17,248248537,234860766.0,87749.0,39214.0,37.36,16.7,48722.0,10054.0,20.75,4.28,7815.0,1132.0,3.33,0.48,1869.0,1099.0,0.8,0.47,273181.0,30053.0,116.32,12.8,134776.0,17009.0,57.39,7.24,694107.0,110493.0,295.54,47.05,8128.0,3609.0,3.46,1.54,1109879.0,158687.0,472.57,67.57,1989-06-01
07-1989,300884.0,154428.0,127.64,65.51,248248537,235726276.0,81040.0,41040.0,34.38,17.41,43804.0,10582.0,18.58,4.49,9056.0,1228.0,3.84,0.52,1809.0,1115.0,0.77,0.47,253701.0,31594.0,107.63,13.4,126181.0,18262.0,53.53,7.75,645119.0,112615.0,273.67,47.77,8076.0,3764.0,3.43,1.6,1034057.0,163699.0,438.67,69.44,1989-07-01
08-1989,289868.0,153141.0,123.11,65.04,248248537,235456451.0,77146.0,41885.0,32.76,17.79,44465.0,11501.0,18.88,4.88,8201.0,1188.0,3.48,0.5,1817.0,1196.0,0.77,0.51,255416.0,34277.0,108.48,14.56,127620.0,19121.0,54.2,8.12,661790.0,121141.0,281.07,51.45,7704.0,4052.0,3.27,1.72,1053027.0,175727.0,447.23,74.63,1989-08-01
09-1989,307382.0,147420.0,130.88,62.77,248248537,234865976.0,87348.0,39496.0,37.19,16.82,53848.0,10745.0,22.93,4.57,7481.0,1076.0,3.19,0.46,2012.0,1144.0,0.86,0.49,281034.0,30659.0,119.66,13.05,138484.0,17924.0,58.96,7.63,669522.0,110037.0,285.07,46.85,8045.0,3579.0,3.43,1.52,1096521.0,159696.0,466.87,67.99,1989-09-01
10-1989,290806.0,149571.0,124.34,63.95,248248537,233887192.0,75588.0,40870.0,32.32,17.47,47834.0,11394.0,20.45,4.87,8325.0,1284.0,3.56,0.55,1810.0,1202.0,0.77,0.51,233941.0,31030.0,100.02,13.27,127983.0,18133.0,54.72,7.75,597730.0,116638.0,255.56,49.87,7017.0,3665.0,3.0,1.57,967979.0,167085.0,413.87,71.44,1989-10-01
11-1989,259654.0,130314.0,112.34,56.38,248248537,231136290.0,65864.0,33191.0,28.5,14.36,46390.0,8943.0,20.07,3.87,7619.0,1052.0,3.3,0.46,1686.0,988.0,0.73,0.43,220341.0,27015.0,95.33,11.69,121661.0,15792.0,52.64,6.83,548323.0,108419.0,237.23,46.91,6563.0,3270.0,2.84,1.41,897944.0,152278.0,388.49,65.88,1989-11-01
